experiment_name,num_params,model_size_mb,avg_rtf,avg_generator_rtf,pesq,stoi,mel_l1
H2_128C_quantized_resblocks,926391,1.815,0.0278,0.0271,1.2593642115592956,0.8227999164022017,1.272441130876541
H2_128C_quantized_all,926393,1.137,0.0265,0.0257,1.235404109954834,0.8216209790266813,1.2841543018817902
H4_128C_pruned30_int8_Mask_pruning_resblocks_range_1_10,926225,1.979,0.0222,0.0215,1.1911056160926818,0.7772128361013145,1.0188202887773514
H2_128C_quantized_no_output,926393,1.137,0.0273,0.0265,1.2468755424022675,0.8214001999204701,1.282080453634262
H3_128C_pruned50_Mask_pruning,925985,3.583,0.2655,0.2644,1.5895342648029327,0.8869751486489029,0.3957893058657646
H2_128C_quantized_no_upsample,926393,1.613,0.027,0.0263,1.2345928788185119,0.8197089325400704,1.2802503645420074
H4_128C_pruned50_int8_Mask_pruning_resblocks_range_2_9,926177,2.451,0.0246,0.0239,1.4143948018550874,0.8535980558349993,0.5824224948883057
H3_128C_pruned70_Mask_pruning,925985,3.583,0.2608,0.26,1.4961709141731263,0.8730111270994518,0.40876138806343076
H4_128C_pruned50_int8_Mask_pruning_resblocks_range_1_10,926225,1.979,0.0224,0.0216,1.032550609111786,0.5576589226066331,1.6139466345310212
H4_128C_pruned70_int8_Mask_pruning_resblocks_range_2_9,926177,2.451,0.0246,0.0239,1.3377369821071625,0.8264253030332724,0.6728543162345886
H4_128C_pruned30_int8_Mask_pruning_resblocks_range_3_8,926129,3.2,0.0258,0.0251,1.6086744964122772,0.8862763373207994,0.4382041245698929
H4_128C_pruned70_int8_Mask_pruning_resblocks_range_1_10,926225,1.979,0.0222,0.0215,1.0215275287628174,0.5666985891101184,3.137872850894928
H4_128C_pruned50_int8_Mask_pruning_resblocks_range_3_8,926129,3.2,0.026,0.0253,1.5368496537208558,0.8754537571426905,0.49277597963809966
H4_128C_pruned70_int8_Mask_pruning_resblocks_range_3_8,926129,3.2,0.0259,0.0251,1.3991772651672363,0.8521062540982236,0.5486382007598877
H3_256C_pruned30_Physical_pruning,2738521,10.497,0.2403,0.2397,2.3605186593532563,0.9303825584157585,0.3209865028262138
H3_256C_pruned50_Physical_pruning,2183689,8.382,0.229,0.2284,2.272066751241684,0.9283837335300966,0.3249854809045792
H3_256C_pruned70_Physical_pruning,1628857,6.265,0.221,0.2204,2.0882022340297697,0.9186227901598718,0.3413169282078743
H4_256C_pruned30_int8_Physical_pruning_resblocks_range_3_8,2738665,9.293,0.2061,0.2055,2.175376404285431,0.9218353999838301,0.4814161278605461
H4_256C_pruned50_int8_Physical_pruning_resblocks_range_3_8,2183833,7.543,0.1962,0.1956,2.1294411900043486,0.9212631755572134,0.45714115917682646
H4_256C_pruned70_int8_Physical_pruning_resblocks_range_3_8,1629001,5.792,0.1882,0.1876,2.0145633006095887,0.9139239456852333,0.41581520599126814
