experiment_name,num_params,model_size_mb,avg_rtf,pesq,stoi,mel_l1,avg_generator_rtf
H1_512C_baseline,13936130,53.239,0.2886,2.771301281452179,0.9598698054320141,0.20455532446503638,
H2_512C_quantized_resblocks_range_3_8,13926161,45.91,0.1559,2.6318930983543396,0.9513756176803634,0.2682345017790794,
H3_512C_pruned30_Mask_pruning,13926017,53.175,0.2888,2.2249565064907073,0.9320530372718402,0.30063446909189223,
H3_512C_pruned50_Mask_pruning,13926017,53.175,0.2906,2.197063720226288,0.9415382207674042,0.26950416564941404,
H3_512C_pruned70_Mask_pruning,13926017,53.175,0.2909,2.0108864426612856,0.9293903514007125,0.29989704191684724,
H2_512C_quantized_resblocks_range_2_9,13926209,33.53,0.1485,2.4140503764152528,0.9488213486337583,0.3199668347835541,
H2_512C_quantized_resblocks_range_1_10,13926257,25.579,0.1402,2.1189946234226227,0.9456912158120987,0.43987962901592254,
H4_512C_pruned30_int8_Mask_pruning_resblocks_range_3_8,13926161,45.91,0.1594,1.795193177461624,0.8877994457432047,1.3816219031810761,
H4_512C_pruned30_int8_Mask_pruning_resblocks_range_2_9,13926209,33.53,0.1511,1.2243061065673828,0.8257133204424519,1.1246617197990418,
H4_512C_pruned30_int8_Mask_pruning_resblocks_range_1_10,13926257,25.579,0.1383,1.0609429776668549,0.45762569679714177,1.716133862733841,
H4_512C_pruned50_int8_Mask_pruning_resblocks_range_3_8,13926161,45.91,0.1612,1.9133060932159425,0.9112502989407949,1.028773957490921,
H4_512C_pruned50_int8_Mask_pruning_resblocks_range_2_9,13926209,33.53,0.1507,1.313353282213211,0.8584266504882578,0.8002423495054245,
H2_512C_quantized_all,13926425,13.661,0.1422,1.1025881111621856,0.7912697935407008,1.032461267709732,
H4_512C_pruned50_int8_Mask_pruning_resblocks_range_1_10,13926257,25.579,0.1402,1.4642371773719787,0.362987118624661,1.9142911791801454,
H4_512C_pruned70_int8_Mask_pruning_resblocks_range_3_8,13926161,45.91,0.1649,1.9271439611911774,0.9100805452687479,1.2050990223884583,
H2_512C_quantized_no_output,13926425,13.661,0.1442,1.1118707239627839,0.7907739310344779,0.965253159403801,
H4_512C_pruned70_int8_Mask_pruning_resblocks_range_2_9,13926209,33.53,0.152,1.3786720931529999,0.8477176552065713,1.5205110669136048,
H2_512C_quantized_no_upsample,13926425,21.278,0.134,1.122383064031601,0.8053597424613047,1.0338218450546264,
H4_512C_pruned70_int8_Mask_pruning_resblocks_range_1_10,13926257,25.579,0.1401,1.0427092254161834,0.4534104781131171,2.16441867351532,
H2_512C_quantized_resblocks,13926423,22.09,0.1382,1.1349743127822876,0.8009179739600356,0.9780722886323929,
H3_512C_pruned30_Physical_pruning,10634609,40.619,0.2871,1.0259957432746887,0.3350204827826833,4.807811164855957,
H3_512C_pruned50_Physical_pruning,8440337,32.249,0.4061,1.0235466480255127,0.5742213296033998,5.430663537979126,
H3_512C_pruned70_Physical_pruning,6246065,23.878,0.2047,1.0381816625595093,0.48041654659274025,3.824177896976471,
H4_512C_pruned30_int8_Physical_pruning_resblocks_range_3_8,10634753,35.537,0.1685,1.047233235836029,0.2985882138853666,4.361328601837158,
H4_512C_pruned50_int8_Physical_pruning_resblocks_range_3_8,8440481,28.662,0.4068,1.0213091135025025,0.5594178521379475,4.918481111526489,
H4_512C_pruned70_int8_Physical_pruning_resblocks_range_3_8,6246209,21.785,0.3002,1.036631739139557,0.485117546136571,3.763475012779236,
H1_256C_baseline,3560706,13.66,0.2651,2.5559239029884337,0.9475824507341104,0.25174679085612295,
H2_256C_quantized_resblocks_range_3_8,3555793,11.861,0.0748,2.4085971236228945,0.9424080066648571,0.27933783531188966,
H2_256C_quantized_resblocks_range_2_9,3555841,8.788,0.0559,1.8730543076992034,0.9230446660878006,0.5191695362329483,
H2_256C_quantized_resblocks_range_1_10,3555889,6.823,0.0497,1.7510748565196992,0.9170966153543467,0.5954654529690743,
H3_256C_pruned30_Mask_pruning,3555649,13.616,0.3907,2.025317460298538,0.9194195343280865,0.3149611219763756,
H4_256C_pruned30_int8_Mask_pruning_resblocks_range_2_9,3555841,8.788,0.0571,1.0480787575244903,0.6303195539873461,1.596995973587036,
H4_256C_pruned30_int8_Mask_pruning_resblocks_range_1_10,3555889,6.823,0.0502,1.0480787575244903,0.6303195539873461,1.596995973587036,
H2_256C_quantized_all,3556057,3.688,0.055,1.1057345807552337,0.8043329245896744,1.414197415113449,
H3_256C_pruned50_Mask_pruning,3555649,13.616,0.7568,1.8819458067417145,0.9192333521373278,0.33026972860097886,
H2_256C_quantized_no_output,3556057,3.687,0.0569,1.109299862384796,0.8068619893302594,1.353691852092743,
H4_256C_pruned50_int8_Mask_pruning_resblocks_range_1_10,3555889,6.823,0.0494,1.4158260941505432,0.8485323003378978,1.1118632912635804,
H4_256C_pruned50_int8_Mask_pruning_resblocks_range_2_9,3555841,8.788,0.0553,1.4158260941505432,0.8485323003378978,1.1118632912635804,
H2_256C_quantized_no_upsample,3556057,5.592,0.0535,1.10536071062088,0.8011189565448058,1.4013524770736694,
H2_256C_quantized_resblocks,3556055,5.996,0.0543,1.1111103177070618,0.8030357828956994,1.3399799048900605,
H4_256C_pruned70_int8_Mask_pruning_resblocks_range_1_10,3555889,6.823,0.0499,1.3823910534381867,0.8427671666292277,1.375921905040741,
H4_256C_pruned70_int8_Mask_pruning_resblocks_range_2_9,3555841,8.788,0.0553,1.3823910534381867,0.8427671666292277,1.375921905040741,
H3_256C_pruned70_Mask_pruning,3555649,13.616,0.7632,1.719282853603363,0.9014823050349741,0.36562027484178544,
H4_256C_pruned30_int8_Mask_pruning_resblocks_range_3_8,3555793,11.861,0.085,2.097884637117386,0.9085208700692103,0.5822718679904938,
H4_256C_pruned70_int8_Mask_pruning_all,3556057,3.688,0.0543,1.0495969116687776,0.2763371896458724,1.7846747636795044,
H4_256C_pruned50_int8_Mask_pruning_resblocks_range_3_8,3555793,11.861,0.1897,1.884032130241394,0.9004222742756373,0.8721516847610473,
H4_256C_pruned70_int8_Mask_pruning_resblocks_range_3_8,3555793,11.861,0.6093,1.681436651945114,0.8928750063345466,0.7116053253412247,
H3_256C_pruned30_Physical_pruning,2738521,10.498,0.28,1.048662406206131,0.6548699938924043,5.705295205116272,
H3_256C_pruned50_Physical_pruning,2183689,8.382,0.3128,1.0264010071754455,0.45766761318106475,5.062935185432434,
H3_256C_pruned70_Physical_pruning,1628857,6.265,0.6573,1.0694369316101073,0.5541316801698607,5.24458532333374,
H4_256C_pruned30_int8_Physical_pruning_resblocks_range_3_8,2738665,9.292,0.1407,1.0413447320461273,0.5982903487127044,4.992640948295593,
H4_256C_pruned50_int8_Physical_pruning_resblocks_range_3_8,2183833,7.543,0.2526,1.0406859934329986,0.4408633590872637,4.989479875564575,
H4_256C_pruned70_int8_Physical_pruning_resblocks_range_3_8,1629001,5.792,0.043,1.0501009464263915,0.5290123027424003,4.954233264923095,
H2_128C_quantized_resblocks_range_3_8,926129,3.2,0.0281,1.682891458272934,0.8966978906094927,0.592876273393631,
H2_128C_quantized_resblocks_range_1_10,926225,1.979,0.0229,1.5796375215053557,0.8905301004877092,0.7457600921392441,
H1_128C_baseline,928514,3.617,0.2628,2.241318243741989,0.9328082269462469,0.3019931137561798,
H2_128C_quantized_all,926393,1.137,0.0267,1.235404109954834,0.8216209790266813,1.2841543018817902,
H2_128C_quantized_resblocks_range_2_9,926177,2.451,0.066,1.6429554343223571,0.894102628840652,0.6533703684806824,
H2_128C_quantized_no_output,926393,1.137,0.0275,1.2468755424022675,0.8214001999204701,1.282080453634262,
H2_128C_quantized_no_upsample,926393,1.613,0.0524,1.2345928788185119,0.8197089325400704,1.2802503645420074,
H2_128C_quantized_resblocks,926391,1.815,0.028,1.2593642115592956,0.8227999164022017,1.272441130876541,
H1_256C_baseline,3560706,13.66,0.269,2.5559239029884337,0.9475824507341104,0.25174679085612295,0.2675
H2_256C_quantized_resblocks_range_3_8,3555793,11.861,0.056,2.4085971236228945,0.9424080066648571,0.27933783531188966,0.0552
H3_256C_pruned30_Mask_pruning,3555649,13.616,0.2681,2.025317460298538,0.9194195343280865,0.3149611219763756,0.2673
H3_256C_pruned50_Mask_pruning,3555649,13.616,0.2649,1.8819458067417145,0.9192333521373278,0.33026972860097886,0.2641
